id,vl_diff,cd_diff,vlogs_diff_mean,cds_diff_mean,n,payoffs,payoffs_b,nearest_payoff,classification_2,classification_3,classification_4,phen_1,str1_2,str1_3,str2_2,str2_3,str2_4,str2_5,str2_6,str2_7,batch_1,TB_1,GR_1
92,0.02192029325211499,0.15539393439902743,0.01036795153766684,0.00431251384321148,79,-0.0684744862465099,-0.04074944790194699,0.01311936855647409,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
93,-0.1869687864947367,0.3708318683649736,-0.18324088232080385,0.5866804711230271,32,0.06122562772879419,-0.12049871285084028,-0.18289618750808784,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
94,-0.029691936293255,-0.18199409727947743,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.12049871285084028,-0.02188969694557166,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
95,-0.47942295701805726,0.09653209087678882,0.01036795153766684,0.00431251384321148,79,-0.10391108588841703,-0.12049871285084028,-0.3439026780706041,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
96,-0.3235526899590244,0.04139887206276218,0.01036795153766684,0.00431251384321148,79,-0.13710294134473117,-0.12049871285084028,-0.3439026780706041,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
97,0.4124749546983644,-0.3930975217662361,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.12049871285084028,0.33029416687588603,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
98,0.00458752312039922,-0.16491738722232083,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.12049871285084028,0.01311936855647409,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
99,-0.20107401142869993,0.3155452422186865,-0.18324088232080385,0.5866804711230271,32,0.02794141644585029,-0.12049871285084028,-0.19402123090027823,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
100,-0.5083536721432284,0.46673594268548513,-0.18324088232080385,0.5866804711230271,32,0.11896276408674188,-0.12049871285084028,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
101,0.2275131598606756,0.2769088966365572,0.01036795153766684,0.00431251384321148,79,0.00468117469852874,-0.12049871285084028,0.22655354981244785,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
102,-0.09060637938330872,0.04315500810298009,0.01036795153766684,0.00431251384321148,79,-0.13604569464551056,-0.13856092744147264,-0.08686274333177196,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
103,0.05525979076022987,0.2723644561850975,0.01036795153766684,0.00431251384321148,79,0.00194528490578002,-0.00178036755177318,0.05814259011577686,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
104,-0.265237573082094,0.08726724638034304,0.01036795153766684,0.00431251384321148,79,-0.10948880084804168,-0.13856092744147264,-0.19402123090027823,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
105,-0.05347804160430533,-0.06137562552910045,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.13856092744147264,-0.06612330648821,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
106,-0.01672916034148131,0.14355235950404108,0.01036795153766684,0.00431251384321148,79,-0.07560347038246805,-0.08372738803753055,-0.01896352753168997,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
107,-0.07839892366485131,0.7328614586125493,-0.18324088232080385,0.5866804711230271,32,0.27917832646273816,-0.13856092744147264,-0.08686274333177196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,-0.01781828810627395,-0.12723723634494222,0.01036795153766684,0.00431251384321148,79,-0.1651433779131996,-0.13856092744147264,-0.01896352753168997,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
109,1.5809664933115335,-0.5105224184422573,0.9635617709601948,0.6173745398857842,18,-0.1651433779131996,1.5727461660921782,0.6795518612834621,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
111,-0.3781435732088035,0.1713218588598612,0.01036795153766684,0.00431251384321148,79,-0.05888539680469081,-0.05861942861486564,-0.3439026780706041,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
112,-0.2861369582403596,0.1057630470454974,0.01036795153766684,0.00431251384321148,79,-0.09835377272103496,-0.3689515557076696,-0.3439026780706041,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
113,-0.5772875076052817,0.5355299651767512,-0.18324088232080385,0.5866804711230271,32,0.1603788341059949,-0.3689515557076696,-0.3439026780706041,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
